wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet
0.45,1,30,1,5,1,2,1,0,1,4,4,4,4,4,5,1,2
0.85,2,25,2,5,1,2,1,0,1,4,4,4,4,1,1,1,1
0.91,1,39,2,4,1,1,1,1,1,1,4,4,4,1,1,1,1
0.57,2,45,1,1,1,1,0,0,0,4,4,4,4,4,5,2,2
0.78,1,50,1,5,2,1,1,0,1,4,4,4,4,4,3,1,2
0.97,2,20,2,5,2,2,1,1,1,1,1,1,1,1,1,1,1
1.12,2,51,1,3,2,1,1,0,1,4,4,4,4,4,5,1,2
1.72,1,23,2,2,2,1,1,0,0,4,4,4,4,2,5,1,1
1.12,1,23,2,5,2,2,1,1,0,4,4,4,4,4,5,1,1
0.93,1,48,3,5,1,2,1,1,1,1,4,4,4,1,4,1,1
0.56,2,40,2,2,1,1,1,0,1,4,4,4,4,2,5,1,2
0.59,2,35,3,5,1,2,1,1,0,1,4,4,4,4,5,1,1
1.32,2,68,2,4,2,2,1,1,1,4,4,1,4,4,3,2,2
0.22,2,55,2,4,2,1,1,0,1,4,1,4,1,2,3,1,2
1.69,1,26,1,1,1,1,1,1,1,4,4,4,4,1,4,1,2
2.42,1,38,1,2,1,1,1,0,0,4,4,4,4,2,5,1,2
1.3,1,25,1,2,1,1,1,1,0,4,4,4,1,1,4,1,2
0.73,2,40,2,1,1,1,1,1,0,4,4,4,4,2,5,1,2
2.42,1,24,1,3,2,1,1,1,0,3,4,4,4,3,4,1,2
0.56,2,24,2,4,1,1,1,0,1,4,4,4,4,2,5,2,2
0.59,2,38,3,5,1,2,1,1,1,4,4,4,4,4,1,1,1
1.03,2,56,2,5,2,2,1,0,1,4,4,4,4,4,4,1,1
0.47,1,38,2,3,2,2,1,1,0,4,4,4,4,4,5,1,1
0.4,2,21,2,1,1,1,1,0,1,2,4,4,2,1,5,1,2
0.29,2,40,2,1,1,1,1,1,1,2,4,4,4,4,5,1,2
1.62,2,28,1,3,1,1,1,0,0,4,4,4,4,4,5,2,2
0.94,1,59,1,4,1,1,0,0,0,4,4,4,4,4,5,1,2
