wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet,age_sqrt
0.34,0,0.5,1.0,1,0,0,0,0,1,1,1,1,1,1,0,1,0.2326232808881239
1.09,1,0.0,0.0,1,0,1,0,0,1,1,0,1,1,1,0,1,0.5060197771135149
0.87,1,0.0,0.5,1,0,1,1,1,1,1,1,1,1,0,0,1,0.7994079677421027
2.13,1,0.0,0.75,1,1,1,0,0,1,0,1,1,1,1,0,0,0.5852072483626012
0.75,0,0.0,0.5,0,1,1,0,0,1,1,1,1,1,0,0,1,0.21177201535847945
1.46,0,0.0,0.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0.21177201535847945
1.64,1,0.0,0.0,0,0,1,0,0,0,1,1,1,1,1,0,1,0.5060197771135149
0.43,1,0.5,0.75,1,0,1,1,0,1,0,1,1,0,1,0,0,0.12366884299436665
1.17,0,0.0,0.75,1,1,1,1,1,0,1,1,1,0,1,0,0,0.1904816313028227
1.06,0,0.0,1.0,1,1,0,0,1,1,0,1,1,1,1,0,1,0.7451949701854257
0.94,0,0.0,0.5,0,0,1,0,1,1,1,1,0,1,0,1,1,0.47296560836944224
1.1,1,0.0,1.0,0,1,0,0,1,1,1,1,1,1,1,0,1,0.21177201535847945
0.87,1,0.0,0.75,1,1,1,0,0,1,1,1,1,1,1,1,1,0.42170787336756455
0.22,1,1.0,0.75,0,1,0,0,1,1,1,1,1,1,1,0,1,0.36820210314246227
2.29,1,0.0,0.0,0,0,1,0,0,1,1,1,1,1,1,0,1,0.5540883258681659
1.53,0,0.0,0.25,0,0,1,0,0,1,1,1,1,1,1,0,1,0.43902953061416916
0.79,1,0.5,1.0,0,0,0,0,0,1,1,1,1,1,0,0,1,0.10029601612894867
1.49,1,0.0,0.5,0,1,1,1,1,0,1,1,1,0,0,1,1,0.6746274918803921
1.0,1,0.0,0.0,0,1,1,1,0,0,1,0,1,1,1,1,1,0.8646924184089513
2.42,0,0.0,0.25,1,0,1,0,1,1,1,1,1,0,0,1,1,0.8258364678460262
1.05,1,0.0,0.75,0,0,1,0,0,1,1,1,1,1,1,0,1,0.8646924184089513
0.52,0,0.5,0.0,1,0,0,0,0,1,1,1,1,0,1,1,1,0.29279124390711675
2.14,0,0.0,0.0,1,1,1,0,0,1,1,0,1,0,1,0,1,0.9275106159838182
0.34,1,0.5,0.75,1,0,1,0,0,1,1,1,1,1,1,0,0,0.6601046208636034
0.61,1,0.0,0.25,1,1,0,0,0,1,1,1,1,1,1,0,1,0.48959864865397007
1.82,1,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,0,1,0.7994079677421027
2.06,0,0.0,0.5,0,0,1,0,1,0,1,1,1,0,1,1,1,0.5060197771135149
2.0,0,0.0,0.5,1,0,1,0,1,1,1,1,1,1,1,0,1,0.2326232808881239
0.58,0,0.5,0.0,1,0,1,0,0,1,1,1,1,1,1,0,1,0.5060197771135149
